#M_sun	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
8	0	0	0	0	0	0	0	0
1.200000e+01	2.737000e-15	1.985000e-15	2.838000e-14	2.935000e-14	5.582000e-14	2.852000e-14	6.765000e-14	1.795000e-14
1.500000e+01	1.591000e-15	1.154000e-15	1.649000e-14	1.706000e-14	3.245000e-14	1.658000e-14	3.932000e-14	1.043000e-14
2.000000e+01	1.475000e-15	1.070000e-15	1.529000e-14	1.582000e-14	3.008000e-14	1.537000e-14	3.646000e-14	9.672000e-15
2.500000e+01	2.521000e-15	1.829000e-15	2.614000e-14	2.704000e-14	5.143000e-14	2.628000e-14	6.233000e-14	1.653000e-14
