#M	Z	v-50	v-51
1.200000e+01	1.000000e-04	4.380000e-14	1.785000e-11
1.500000e+01	1.000000e-04	2.545000e-14	1.037000e-11
2.000000e+01	1.000000e-04	2.360000e-14	9.617000e-12
2.500000e+01	1.000000e-04	4.035000e-14	1.644000e-11
