#M_sun	lu-175	lu-176
8	0	0
1.200000e+01	7.884000e-15	1.951000e-15
1.500000e+01	4.582000e-15	1.134000e-15
2.000000e+01	4.249000e-15	1.051000e-15
2.500000e+01	7.263000e-15	1.797000e-15
