#M	Z	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
1.200000e+01	1.000000e-04	1.298000e-16	8.518000e-15	1.449000e-14	1.994000e-14	1.143000e-14	2.603000e-14	6.044000e-15
1.500000e+01	1.000000e-04	7.544000e-17	4.951000e-15	8.422000e-15	1.159000e-14	6.645000e-15	1.513000e-14	3.513000e-15
2.000000e+01	1.000000e-04	6.995000e-17	4.590000e-15	7.809000e-15	1.074000e-14	6.162000e-15	1.403000e-14	3.257000e-15
2.500000e+01	1.000000e-04	1.196000e-16	7.847000e-15	1.335000e-14	1.837000e-14	1.053000e-14	2.398000e-14	5.568000e-15
