#M_sun	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
8	0	0	0	0	0	0	0
1.200000e+01	4.278000e-14	1.934000e-14	3.807000e-14	1.335000e-14	2.781000e-14	9.424000e-15	9.351000e-15
1.500000e+01	2.487000e-14	1.124000e-14	2.212000e-14	7.759000e-15	1.616000e-14	5.477000e-15	5.435000e-15
2.000000e+01	2.306000e-14	1.042000e-14	2.051000e-14	7.195000e-15	1.499000e-14	5.079000e-15	5.040000e-15
2.500000e+01	3.941000e-14	1.781000e-14	3.507000e-14	1.230000e-14	2.562000e-14	8.682000e-15	8.615000e-15
