#M_sun	cu-63	cu-65
8	0	0
1.200000e+01	2.847000e-11	1.309000e-11
1.500000e+01	1.654000e-11	7.607000e-12
2.000000e+01	1.534000e-11	7.054000e-12
2.500000e+01	2.622000e-11	1.206000e-11
