#M_sun	la-138	la-139
8	0	0
1.200000e+01	6.865000e-17	7.721000e-14
1.500000e+01	3.977000e-17	4.487000e-14
2.000000e+01	3.728000e-17	4.161000e-14
2.500000e+01	6.373000e-17	7.113000e-14
