#M	Z	zr-90	zr-91	zr-92	zr-94	zr-96
1.200000e+01	1.000000e-04	6.618000e-13	1.459000e-13	2.254000e-13	2.335000e-13	3.840000e-14
1.500000e+01	1.000000e-04	3.846000e-13	8.483000e-14	1.310000e-13	1.357000e-13	2.232000e-14
2.000000e+01	1.000000e-04	3.566000e-13	7.865000e-14	1.215000e-13	1.258000e-13	2.069000e-14
2.500000e+01	1.000000e-04	6.096000e-13	1.345000e-13	2.077000e-13	2.151000e-13	3.538000e-14
