#M_sun	h-1	h-2
8	0	0
1.200000e+01	3.151000e-02	3.648000e-07
1.500000e+01	1.814000e-02	2.394000e-07
2.000000e+01	1.745000e-02	3.385000e-07
2.500000e+01	2.983000e-02	5.786000e-07
