#M	Z	se-74	se-76	se-77	se-78	se-80	se-82
1.200000e+01	1.000000e-04	5.166000e-14	5.590000e-13	4.617000e-13	1.456000e-12	3.117000e-12	5.623000e-13
1.500000e+01	1.000000e-04	3.003000e-14	3.249000e-13	2.683000e-13	8.463000e-13	1.811000e-12	3.268000e-13
2.000000e+01	1.000000e-04	2.784000e-14	3.013000e-13	2.488000e-13	7.848000e-13	1.680000e-12	3.030000e-13
2.500000e+01	1.000000e-04	4.759000e-14	5.150000e-13	4.253000e-13	1.341000e-12	2.871000e-12	5.180000e-13
