#M	Z	o-16	o-17	o-18
1.200000e+01	1.000000e-04	2.931000e-06	7.296000e-09	7.151000e-10
1.500000e+01	1.000000e-04	1.668000e-06	1.890000e-09	4.336000e-10
2.000000e+01	1.000000e-04	1.721000e-06	8.863000e-11	5.046000e-10
2.500000e+01	1.000000e-04	2.941000e-06	1.515000e-10	8.626000e-10
