#M_sun	ta-180	ta-181
8	0	0
1.200000e+01	1.048000e-18	8.564000e-15
1.500000e+01	6.089000e-19	4.977000e-15
2.000000e+01	5.646000e-19	4.615000e-15
2.500000e+01	9.652000e-19	7.890000e-15
