#M_sun	n-14	n-15
8	0	0
1.200000e+01	4.299000e-07	1.295000e-10
1.500000e+01	2.673000e-07	8.130000e-11
2.000000e+01	2.461000e-08	9.694000e-11
2.500000e+01	4.207000e-08	1.657000e-10
