#M_sun	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
8	0	0	0	0	0	0
1.200000e+01	1.682000e-14	1.110000e-13	5.691000e-13	5.711000e-13	2.847000e-12	8.817000e-13
1.500000e+01	9.776000e-15	6.454000e-14	3.308000e-13	3.319000e-13	1.655000e-12	5.125000e-13
2.000000e+01	9.065000e-15	5.984000e-14	3.067000e-13	3.078000e-13	1.534000e-12	4.752000e-13
2.500000e+01	1.550000e-14	1.023000e-13	5.243000e-13	5.261000e-13	2.623000e-12	8.123000e-13
