#M_sun	ce-136	ce-138	ce-140	ce-142
8	0	0	0	0
1.200000e+01	3.615000e-16	4.953000e-16	1.770000e-13	2.255000e-14
1.500000e+01	2.101000e-16	2.879000e-16	1.028000e-13	1.311000e-14
2.000000e+01	1.948000e-16	2.668000e-16	9.537000e-14	1.215000e-14
2.500000e+01	3.330000e-16	4.560000e-16	1.630000e-13	2.078000e-14
