#M_sun	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
8	0	0	0	0	0	0	0
1.200000e+01	1.262000e-14	4.344000e-15	2.995000e-14	2.988000e-14	4.087000e-14	7.633000e-14	4.593000e-14
1.500000e+01	7.334000e-15	2.524000e-15	1.741000e-14	1.737000e-14	2.375000e-14	4.436000e-14	2.669000e-14
2.000000e+01	6.800000e-15	2.341000e-15	1.614000e-14	1.610000e-14	2.202000e-14	4.113000e-14	2.475000e-14
2.500000e+01	1.162000e-14	4.001000e-15	2.760000e-14	2.753000e-14	3.765000e-14	7.032000e-14	4.231000e-14
