#M_sun	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
8	0	0	0	0	0	0
1.200000e+01	5.195000e-09	2.184000e-11	4.665000e-12	7.376000e-11	1.479000e-13	7.213000e-12
1.500000e+01	3.020000e-09	1.269000e-11	2.711000e-12	4.287000e-11	8.594000e-14	4.192000e-12
2.000000e+01	2.800000e-09	1.177000e-11	2.514000e-12	3.975000e-11	7.969000e-14	3.887000e-12
2.500000e+01	4.786000e-09	2.012000e-11	4.298000e-12	6.795000e-11	1.362000e-13	6.645000e-12
