#M_sun	ar-36	ar-38	ar-40
8	0	0	0
1.200000e+01	7.058000e-09	6.789000e-10	1.143000e-12
1.500000e+01	4.102000e-09	3.946000e-10	6.643000e-13
2.000000e+01	3.804000e-09	3.659000e-10	6.160000e-13
2.500000e+01	6.502000e-09	6.254000e-10	1.053000e-12
