#M_sun	ni-58	ni-60	ni-61	ni-62	ni-64
8	0	0	0	0	0
1.200000e+01	2.463000e-09	9.815000e-10	4.338000e-11	1.406000e-10	3.695000e-11
1.500000e+01	1.432000e-09	5.704000e-10	2.521000e-11	8.170000e-11	2.148000e-11
2.000000e+01	1.327000e-09	5.289000e-10	2.338000e-11	7.575000e-11	1.991000e-11
2.500000e+01	2.269000e-09	9.042000e-10	3.996000e-11	1.295000e-10	3.404000e-11
