#M	Z	sr-84	sr-86	sr-87	sr-88
1.200000e+01	1.000000e-04	1.392000e-14	2.521000e-13	1.917000e-13	2.161000e-12
1.500000e+01	1.000000e-04	8.092000e-15	1.465000e-13	1.114000e-13	1.256000e-12
2.000000e+01	1.000000e-04	7.503000e-15	1.358000e-13	1.033000e-13	1.165000e-12
2.500000e+01	1.000000e-04	1.283000e-14	2.322000e-13	1.765000e-13	1.991000e-12
