#M_sun	k-39	k-40	k-41
8	0	0	0
1.200000e+01	1.682000e-10	2.150000e-14	1.276000e-11
1.500000e+01	9.775000e-11	1.252000e-14	7.416000e-12
2.000000e+01	9.064000e-11	1.163000e-14	6.877000e-12
2.500000e+01	1.549000e-10	1.989000e-14	1.176000e-11
