#M_sun	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
8	0	0	0	0	0	0
1.200000e+01	4.349000e-17	2.523000e-15	1.074000e-13	1.108000e-13	8.307000e-14	2.381000e-14
1.500000e+01	2.528000e-17	1.466000e-15	6.241000e-14	6.438000e-14	4.828000e-14	1.384000e-14
2.000000e+01	2.344000e-17	1.360000e-15	5.787000e-14	5.969000e-14	4.477000e-14	1.283000e-14
2.500000e+01	4.007000e-17	2.324000e-15	9.892000e-14	1.020000e-13	7.652000e-14	2.194000e-14
