#M	Z	f-19
1.200000e+01	1.000000e-04	2.166000e-11
1.500000e+01	1.000000e-04	1.246000e-11
2.000000e+01	1.000000e-04	1.304000e-11
2.500000e+01	1.000000e-04	2.229000e-11
