#M_sun	ga-69	ga-71
8	0	0
1.200000e+01	1.963000e-12	1.340000e-12
1.500000e+01	1.141000e-12	7.790000e-13
2.000000e+01	1.058000e-12	7.223000e-13
2.500000e+01	1.808000e-12	1.235000e-12
