#M	Z	co-59
1.200000e+01	1.000000e-04	1.721000e-10
1.500000e+01	1.000000e-04	1.001000e-10
2.000000e+01	1.000000e-04	9.277000e-11
2.500000e+01	1.000000e-04	1.586000e-10
