#M	Z	br-79	br-81
1.200000e+01	1.000000e-04	5.992000e-13	5.977000e-13
1.500000e+01	1.000000e-04	3.483000e-13	3.474000e-13
2.000000e+01	1.000000e-04	3.229000e-13	3.221000e-13
2.500000e+01	1.000000e-04	5.520000e-13	5.507000e-13
