#M_sun	fe-54	fe-56	fe-57	fe-58
8	0	0	0	0
1.200000e+01	3.501000e-09	5.700000e-08	1.340000e-09	1.814000e-10
1.500000e+01	2.035000e-09	3.313000e-08	7.787000e-10	1.055000e-10
2.000000e+01	1.887000e-09	3.072000e-08	7.221000e-10	9.778000e-11
2.500000e+01	3.226000e-09	5.251000e-08	1.234000e-09	1.671000e-10
