#M	Z	os-184	os-186	os-187	os-188	os-189	os-190	os-192
1.200000e+01	1.000000e-04	3.066000e-17	2.492000e-15	2.428000e-15	2.102000e-14	2.576000e-14	4.212000e-14	6.610000e-14
1.500000e+01	1.000000e-04	1.782000e-17	1.448000e-15	1.397000e-15	1.222000e-14	1.497000e-14	2.448000e-14	3.842000e-14
2.000000e+01	1.000000e-04	1.652000e-17	1.343000e-15	1.394000e-15	1.133000e-14	1.388000e-14	2.270000e-14	3.562000e-14
2.500000e+01	1.000000e-04	2.824000e-17	2.296000e-15	2.383000e-15	1.936000e-14	2.373000e-14	3.880000e-14	6.090000e-14
