#M	Z	pb-206	pb-207	pb-204	pb-208
1.200000e+01	1.000000e-04	1.207000e-13	1.333000e-13	1.264000e-14	3.817000e-13
1.500000e+01	1.000000e-04	7.013000e-14	7.745000e-14	7.347000e-15	2.218000e-13
2.000000e+01	1.000000e-04	6.503000e-14	7.181000e-14	6.813000e-15	2.057000e-13
2.500000e+01	1.000000e-04	1.112000e-13	1.228000e-13	1.165000e-14	3.516000e-13
