#M	Z	sb-121	sb-123
1.200000e+01	1.000000e-04	2.725000e-14	2.071000e-14
1.500000e+01	1.000000e-04	1.584000e-14	1.204000e-14
2.000000e+01	1.000000e-04	1.468000e-14	1.116000e-14
2.500000e+01	1.000000e-04	2.510000e-14	1.908000e-14
