#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	1.000000e-04	3.621000e-17	8.097000e-15	4.398000e-15	9.467000e-15	8.877000e-15
1.500000e+01	1.000000e-04	2.104000e-17	4.706000e-15	2.556000e-15	5.502000e-15	5.159000e-15
2.000000e+01	1.000000e-04	1.951000e-17	4.364000e-15	2.370000e-15	5.102000e-15	4.784000e-15
2.500000e+01	1.000000e-04	3.335000e-17	7.460000e-15	4.052000e-15	8.721000e-15	8.178000e-15
