#M_sun	ag-107	ag-109
8	0	0
1.200000e+01	3.381000e-14	3.200000e-14
1.500000e+01	1.965000e-14	1.860000e-14
2.000000e+01	1.822000e-14	1.725000e-14
2.500000e+01	3.115000e-14	2.948000e-14
