#M	Z	al-27
1.200000e+01	1.000000e-04	3.202000e-09
1.500000e+01	1.000000e-04	1.937000e-09
2.000000e+01	1.000000e-04	1.506000e-09
2.500000e+01	1.000000e-04	2.575000e-09
