#M	Z	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
1.200000e+01	1.000000e-04	4.329000e-17	7.516000e-17	1.855000e-15	1.509000e-14	2.048000e-14	2.011000e-14	2.291000e-14
1.500000e+01	1.000000e-04	2.516000e-17	4.368000e-17	1.078000e-15	8.768000e-15	1.190000e-14	1.169000e-14	1.331000e-14
2.000000e+01	1.000000e-04	2.333000e-17	4.050000e-17	9.998000e-16	8.130000e-15	1.104000e-14	1.084000e-14	1.235000e-14
2.500000e+01	1.000000e-04	3.988000e-17	6.924000e-17	1.709000e-15	1.390000e-14	1.886000e-14	1.853000e-14	2.110000e-14
