#M_sun	cl-35	cl-37
8	0	0
1.200000e+01	2.942000e-10	9.945000e-11
1.500000e+01	1.710000e-10	5.780000e-11
2.000000e+01	1.585000e-10	5.359000e-11
2.500000e+01	2.710000e-10	9.161000e-11
