#M	Z	rb-85	rb-87
1.200000e+01	1.000000e-04	5.531000e-13	2.183000e-13
1.500000e+01	1.000000e-04	3.215000e-13	1.269000e-13
2.000000e+01	1.000000e-04	2.981000e-13	1.177000e-13
2.500000e+01	1.000000e-04	5.095000e-13	2.012000e-13
