#M	Z	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
1.200000e+01	1.000000e-04	1.271000e-16	1.384000e-15	9.455000e-15	1.316000e-14	1.013000e-14	1.617000e-14	1.442000e-14
1.500000e+01	1.000000e-04	7.388000e-17	8.045000e-16	5.495000e-15	7.648000e-15	5.886000e-15	9.399000e-15	8.380000e-15
2.000000e+01	1.000000e-04	6.850000e-17	7.460000e-16	5.095000e-15	7.092000e-15	5.458000e-15	8.715000e-15	7.770000e-15
2.500000e+01	1.000000e-04	1.171000e-16	1.275000e-15	8.710000e-15	1.212000e-14	9.330000e-15	1.490000e-14	1.328000e-14
