#M	Z	nb-93
1.200000e+01	1.000000e-04	8.195000e-14
1.500000e+01	1.000000e-04	4.763000e-14
2.000000e+01	1.000000e-04	4.416000e-14
2.500000e+01	1.000000e-04	7.549000e-14
