#M	Z	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
1.200000e+01	1.000000e-04	1.829000e-15	2.037000e-14	4.122000e-14	5.093000e-14	5.024000e-14	2.267000e-14
1.500000e+01	1.000000e-04	1.063000e-15	1.184000e-14	2.396000e-14	2.960000e-14	2.920000e-14	1.317000e-14
2.000000e+01	1.000000e-04	9.858000e-16	1.098000e-14	2.222000e-14	2.745000e-14	2.708000e-14	1.222000e-14
2.500000e+01	1.000000e-04	1.685000e-15	1.876000e-14	3.798000e-14	4.692000e-14	4.628000e-14	2.088000e-14
