#M_sun	ge-70	ge-72	ge-73	ge-74	ge-76
8	0	0	0	0	0
1.200000e+01	2.224000e-12	2.980000e-12	8.430000e-13	3.980000e-12	8.466000e-13
1.500000e+01	1.293000e-12	1.732000e-12	4.899000e-13	2.313000e-12	4.920000e-13
2.000000e+01	1.199000e-12	1.606000e-12	4.543000e-13	2.145000e-12	4.562000e-13
2.500000e+01	2.049000e-12	2.746000e-12	7.766000e-13	3.667000e-12	7.799000e-13
