#M_sun	ir-191	ir-193
8	0	0
1.200000e+01	5.854000e-14	9.956000e-14
1.500000e+01	3.402000e-14	5.786000e-14
2.000000e+01	3.155000e-14	5.365000e-14
2.500000e+01	5.393000e-14	9.172000e-14
