#M	Z	pr-141
1.200000e+01	1.000000e-04	2.980000e-14
1.500000e+01	1.000000e-04	1.732000e-14
2.000000e+01	1.000000e-04	1.606000e-14
2.500000e+01	1.000000e-04	2.746000e-14
