#M	Z	c-12	c-13
1.200000e+01	1.000000e-04	3.968000e-07	6.307000e-09
1.500000e+01	1.000000e-04	2.440000e-07	3.227000e-09
2.000000e+01	1.000000e-04	2.903000e-07	9.660000e-10
2.500000e+01	1.000000e-04	4.963000e-07	1.651000e-09
