#M	Z	cr-50	cr-52	cr-53	cr-54
1.200000e+01	1.000000e-04	3.565000e-11	7.149000e-10	8.262000e-11	2.095000e-11
1.500000e+01	1.000000e-04	2.072000e-11	4.155000e-10	4.802000e-11	1.218000e-11
2.000000e+01	1.000000e-04	1.921000e-11	3.853000e-10	4.452000e-11	1.129000e-11
2.500000e+01	1.000000e-04	3.284000e-11	6.586000e-10	7.611000e-11	1.930000e-11
