#M	Z	zn-64	zn-66	zn-67	zn-68	zn-70
1.200000e+01	1.000000e-04	4.877000e-11	2.885000e-11	4.304000e-12	1.998000e-11	6.801000e-13
1.500000e+01	1.000000e-04	2.834000e-11	1.677000e-11	2.502000e-12	1.161000e-11	3.952000e-13
2.000000e+01	1.000000e-04	2.628000e-11	1.555000e-11	2.320000e-12	1.077000e-11	3.665000e-13
2.500000e+01	1.000000e-04	4.493000e-11	2.658000e-11	3.965000e-12	1.840000e-11	6.265000e-13
