#M	Z	in-113	in-115
1.200000e+01	1.000000e-04	1.123000e-15	2.551000e-14
1.500000e+01	1.000000e-04	6.527000e-16	1.483000e-14
2.000000e+01	1.000000e-04	6.052000e-16	1.375000e-14
2.500000e+01	1.000000e-04	1.035000e-15	2.350000e-14
