#M	Z	re-185	re-187
1.200000e+01	1.000000e-04	4.519000e-15	7.806000e-15
1.500000e+01	1.000000e-04	2.627000e-15	4.551000e-15
2.000000e+01	1.000000e-04	2.436000e-15	4.121000e-15
2.500000e+01	1.000000e-04	4.163000e-15	7.045000e-15
