#M_sun	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
8	0	0	0	0	0	0	0	0	0	0
1.200000e+01	5.266000e-15	3.638000e-15	1.888000e-15	8.165000e-14	4.349000e-14	1.384000e-13	4.947000e-14	1.894000e-13	2.735000e-14	3.476000e-14
1.500000e+01	3.061000e-15	2.114000e-15	1.097000e-15	4.746000e-14	2.528000e-14	8.044000e-14	2.875000e-14	1.101000e-13	1.589000e-14	2.020000e-14
2.000000e+01	2.838000e-15	1.960000e-15	1.017000e-15	4.400000e-14	2.344000e-14	7.459000e-14	2.666000e-14	1.021000e-13	1.474000e-14	1.873000e-14
2.500000e+01	4.851000e-15	3.351000e-15	1.739000e-15	7.522000e-14	4.006000e-14	1.275000e-13	4.557000e-14	1.745000e-13	2.519000e-14	3.202000e-14
