#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	1.000000e-04	5.310000e-17	1.741000e-15	6.201000e-15	9.149000e-15	4.594000e-15	1.193000e-14
1.500000e+01	1.000000e-04	3.086000e-17	1.012000e-15	3.604000e-15	5.318000e-15	2.670000e-15	6.936000e-15
2.000000e+01	1.000000e-04	2.862000e-17	9.381000e-16	3.342000e-15	4.931000e-15	2.476000e-15	6.432000e-15
2.500000e+01	1.000000e-04	4.892000e-17	1.604000e-15	5.713000e-15	8.429000e-15	4.232000e-15	1.099000e-14
