#M	Z	he-3	he-4
1.200000e+01	1.000000e-04	1.498000e-06	1.157000e-02
1.500000e+01	1.000000e-04	8.663000e-07	6.899000e-03
2.000000e+01	1.000000e-04	9.579000e-07	5.770000e-03
2.500000e+01	1.000000e-04	1.637000e-06	9.864000e-03
