#M_sun	ti-46	ti-47	ti-48	ti-49	ti-50
8	0	0	0	0	0
1.200000e+01	1.394000e-11	1.284000e-11	2.317000e-10	9.736000e-12	9.523000e-12
1.500000e+01	8.101000e-12	7.462000e-12	1.347000e-10	5.658000e-12	5.535000e-12
2.000000e+01	7.512000e-12	6.919000e-12	1.249000e-10	5.247000e-12	5.132000e-12
2.500000e+01	1.284000e-11	1.183000e-11	2.134000e-10	8.969000e-12	8.773000e-12
