#M	Z	ne-20	ne-21	ne-22
1.200000e+01	1.000000e-04	2.403000e-07	3.176000e-10	5.409000e-09
1.500000e+01	1.000000e-04	1.379000e-07	1.383000e-10	3.212000e-09
2.000000e+01	1.000000e-04	1.336000e-07	1.063000e-10	3.417000e-09
2.500000e+01	1.000000e-04	2.284000e-07	1.818000e-10	5.842000e-09
