#M_sun	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
8	0	0	0	0	0	0	0
1.200000e+01	6.828000e-17	1.616000e-15	7.634000e-15	1.174000e-14	8.724000e-15	1.732000e-14	7.021000e-15
1.500000e+01	3.969000e-17	9.391000e-16	4.437000e-15	6.823000e-15	5.071000e-15	1.006000e-14	4.081000e-15
2.000000e+01	3.680000e-17	8.708000e-16	4.114000e-15	6.326000e-15	4.702000e-15	9.332000e-15	3.784000e-15
2.500000e+01	6.290000e-17	1.488000e-15	7.033000e-15	1.081000e-14	8.037000e-15	1.595000e-14	6.468000e-15
