#M_sun	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
8	0	0	0	0	0	0	0
1.200000e+01	1.589000e-15	7.912000e-15	5.972000e-15	7.391000e-15	3.974000e-15	1.459000e-14	1.258000e-14
1.500000e+01	9.233000e-16	4.598000e-15	3.471000e-15	4.296000e-15	2.309000e-15	8.480000e-15	7.310000e-15
2.000000e+01	8.562000e-16	4.264000e-15	3.218000e-15	3.983000e-15	2.141000e-15	7.863000e-15	6.778000e-15
2.500000e+01	1.464000e-15	7.289000e-15	5.501000e-15	6.809000e-15	3.661000e-15	1.344000e-14	1.159000e-14
