#M_sun	s-32	s-33	s-34	s-36
8	0	0	0	0
1.200000e+01	4.710000e-08	1.411000e-10	8.153000e-10	3.482000e-12
1.500000e+01	2.737000e-08	8.214000e-11	4.739000e-10	2.024000e-12
2.000000e+01	2.538000e-08	7.588000e-11	4.394000e-10	1.876000e-12
2.500000e+01	4.339000e-08	1.297000e-10	7.511000e-10	3.208000e-12
