#M	Z	li-7
1.200000e+01	1.000000e-04	1.906000e-15
1.500000e+01	1.000000e-04	1.256000e-15
2.000000e+01	1.000000e-04	1.768000e-15
2.500000e+01	1.000000e-04	3.022000e-15
