h	7.381000e-01
he	2.559000e-01
li	4.567000e-12
b	1.715000e-10
c	7.527000e-04
n	6.384000e-05
o	4.447000e-03
f	3.370000e-08
ne	3.543000e-04
na	2.402000e-06
mg	1.007000e-04
al	3.892000e-06
si	9.471000e-05
p	4.268000e-07
pb	9.026000e-10
s	6.692000e-05
cl	5.481000e-07
ar	1.078000e-05
k	2.520000e-07
ca	7.384000e-06
sc	3.251000e-09
ti	3.867000e-07
v	2.491000e-08
cr	1.189000e-06
mn	6.595000e-07
fe	8.636000e-05
co	2.397000e-07
ni	5.104000e-06
cu	5.786000e-08
zn	1.428000e-07
ga	4.599000e-09
ge	1.514000e-08
as	8.588000e-10
se	8.643000e-09
br	1.667000e-09
kr	6.958000e-09
rb	1.074000e-09
sr	3.646000e-09
y	7.383000e-10
zr	1.817000e-09
nb	1.141000e-10
mo	4.278000e-10
ru	3.341000e-10
rh	6.334000e-11
pd	2.607000e-10
ag	9.164000e-11
cd	3.236000e-10
in	3.709000e-11
sn	8.011000e-10
sb	6.678000e-11
te	1.084000e-09
i	8.763000e-11
xe	1.089000e-09
cs	8.564000e-11
ba	1.089000e-09
la	1.076000e-10
ce	2.790000e-10
pr	4.150000e-11
nd	2.230000e-10
sm	7.520000e-11
eu	2.575000e-11
gd	9.029000e-11
tb	1.660000e-11
dy	1.122000e-10
ho	5.097000e-11
er	7.285000e-11
tm	1.114000e-11
yb	7.536000e-11
lu	1.369000e-11
hf	4.689000e-11
ta	1.193000e-11
w	4.299000e-11
re	1.694000e-11
os	2.230000e-10
ir	2.201000e-10
pt	4.562000e-10
au	6.506000e-11
hg	1.206000e-10
tl	6.597000e-11
bi	5.236000e-11
