#M	Z	pb-206	pb-207	pb-204	pb-208
1.200000e+01	6.000000e-03	1.480200e-09	1.521500e-09	1.598800e-10	4.678100e-09
1.500000e+01	6.000000e-03	2.657000e-09	2.357600e-09	3.705500e-10	7.631300e-09
2.000000e+01	6.000000e-03	2.542900e-09	2.387700e-09	2.775400e-10	7.452300e-09
2.500000e+01	6.000000e-03	3.348800e-09	3.439600e-09	3.445000e-10	1.140000e-08
