#M	Z	pr-141
1.200000e+01	6.000000e-03	3.597400e-10
1.500000e+01	6.000000e-03	6.472200e-10
2.000000e+01	6.000000e-03	7.545400e-10
2.500000e+01	6.000000e-03	1.248600e-09
