#M_sun	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
8	0	0	0	0	0	0	0
1.200000e+01	3.660600e-12	1.880300e-11	1.098100e-10	1.838500e-10	1.153000e-10	1.982400e-10	1.653900e-10
1.500000e+01	4.577600e-12	2.370900e-11	1.385000e-10	2.712800e-10	1.460200e-10	2.747600e-10	2.218400e-10
2.000000e+01	2.533000e-12	2.381400e-11	1.839100e-10	3.184000e-10	1.852600e-10	3.193800e-10	2.696900e-10
2.500000e+01	3.301800e-12	3.582400e-11	2.496900e-10	4.046700e-10	2.378100e-10	4.362400e-10	3.495500e-10
