#M	Z	ag-107	ag-109
1.200000e+01	6.000000e-03	4.281400e-10	3.886900e-10
1.500000e+01	6.000000e-03	2.272000e-09	3.890360e-09
2.000000e+01	6.000000e-03	2.726430e-09	1.866050e-09
2.500000e+01	6.000000e-03	6.758400e-09	1.693630e-08
