#M	Z	v-50	v-51
1.200000e+01	6.000000e-03	2.341130e-08	3.726793e-05
1.500000e+01	6.000000e-03	3.734301e-08	5.441678e-05
2.000000e+01	6.000000e-03	2.305125e-07	1.347643e-04
2.500000e+01	6.000000e-03	2.053000e-09	6.239000e-07
