#M_sun	zr-90	zr-91	zr-92	zr-94	zr-96
8	0	0	0	0	0
1.200000e+01	1.086110e-07	3.618700e-09	9.119900e-09	4.596500e-09	1.370000e-09
1.500000e+01	6.160991e-04	4.160810e-06	2.520067e-07	1.245962e-07	6.316003e-08
2.000000e+01	3.010678e-06	4.801830e-08	1.995495e-07	1.316350e-08	6.405260e-09
2.500000e+01	1.638995e-06	4.626168e-07	7.858360e-07	3.636870e-07	2.797676e-07
