#M	Z	as-75
1.200000e+01	6.000000e-03	1.922920e-07
1.500000e+01	6.000000e-03	6.125197e-06
2.000000e+01	6.000000e-03	3.934768e-06
2.500000e+01	6.000000e-03	1.561268e-06
